epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,4,,53.46144485473633,,,,,
0,9,,58.42527389526367,,,,,
0,14,,46.8923225402832,,,,,
0,19,,40.25675582885742,,,,,
0,24,,39.093196868896484,,,,,
0,26,,,47.331546783447266,0.29581499099731445,73.34400939941406,0.33460021018981934,39.37826919555664
0,26,49.78815460205078,,,,,,
1,29,,33.13103103637695,,,,,
1,34,,29.589906692504883,,,,,
1,39,,36.14082717895508,,,,,
1,44,,33.45457077026367,,,,,
1,49,,39.7413330078125,,,,,
1,53,,,48.70439910888672,0.279531866312027,77.768310546875,0.344614177942276,32.22312545776367
1,53,33.832096099853516,,,,,,
2,54,,34.8514289855957,,,,,
2,59,,35.92829895019531,,,,,
2,64,,32.37907028198242,,,,,
2,69,,33.50962829589844,,,,,
2,74,,30.150344848632812,,,,,
2,79,,28.791393280029297,,,,,
2,80,,,50.871456146240234,0.3641739785671234,67.75000762939453,0.3648225963115692,29.858457565307617
2,80,31.45111846923828,,,,,,
3,84,,28.094097137451172,,,,,
3,89,,30.050952911376953,,,,,
3,94,,27.986541748046875,,,,,
3,99,,27.981853485107422,,,,,
3,104,,38.85021209716797,,,,,
3,107,,,49.72966384887695,0.380514919757843,62.21265411376953,0.3564947545528412,27.32235336303711
3,107,29.551149368286133,,,,,,
4,109,,29.902618408203125,,,,,
4,114,,27.1513671875,,,,,
4,119,,27.272085189819336,,,,,
4,124,,30.522851943969727,,,,,
4,129,,26.71624755859375,,,,,
4,134,,29.996450424194336,,,,,
4,134,,,43.65559005737305,0.315453439950943,59.33784484863281,0.31012576818466187,25.8644962310791
4,134,28.689054489135742,,,,,,
5,139,,30.294681549072266,,,,,
5,144,,26.71422004699707,,,,,
5,149,,28.072723388671875,,,,,
5,154,,26.608980178833008,,,,,
5,159,,24.58085823059082,,,,,
5,161,,,42.822383880615234,0.314917653799057,56.09857940673828,0.30524346232414246,24.500213623046875
5,161,27.642663955688477,,,,,,
6,164,,24.05202293395996,,,,,
6,169,,26.01939582824707,,,,,
6,174,,27.103118896484375,,,,,
6,179,,28.201274871826172,,,,,
6,184,,26.47337532043457,,,,,
6,188,,,36.989349365234375,0.22381050884723663,56.648250579833984,0.24966087937355042,23.37442398071289
6,188,26.52368927001953,,,,,,
7,189,,24.795507431030273,,,,,
7,194,,28.285280227661133,,,,,
7,199,,26.51654624938965,,,,,
7,204,,22.927791595458984,,,,,
7,209,,24.793004989624023,,,,,
7,214,,22.79507064819336,,,,,
7,215,,,38.42379379272461,0.29095974564552307,48.73078155517578,0.27514728903770447,21.68632698059082
7,215,25.69886016845703,,,,,,
8,219,,23.138839721679688,,,,,
8,224,,25.127119064331055,,,,,
8,229,,23.829681396484375,,,,,
8,234,,27.284725189208984,,,,,
8,239,,21.499914169311523,,,,,
8,242,,,39.49319839477539,0.23968179523944855,58.26022720336914,0.27425071597099304,23.07649040222168
8,242,24.940107345581055,,,,,,
9,244,,30.379016876220703,,,,,
9,249,,21.06287956237793,,,,,
9,254,,23.818761825561523,,,,,
9,259,,20.64614486694336,,,,,
9,264,,27.03244400024414,,,,,
9,269,,23.423175811767578,,,,,
9,269,,,32.825767517089844,0.20519205927848816,48.860477447509766,0.22201132774353027,20.240768432617188
9,269,24.50858497619629,,,,,,
